,success,reward,,,,,0.740294991
0,0.638461538,-1.910823077,,,,,0.907692308
1,0.784615385,-1.279515385,,,,,0
2,0.723076923,-1.654796154,,,,,
3,0.738461538,-1.566157692,,,,,0.78893272
4,0.761538462,-1.545280769,,,,,
5,0.830769231,-1.505126923,,,,,0.043485086
6,0.730769231,-1.815873077,,,,,
7,0.8,-1.370261538,,,,,
8,0.7,-1.835715385,,,,,
9,0.753846154,-1.700373077,,,,,
10,0.7,-1.769742308,,,,,
11,0.692307692,-1.761203846,,,,,
12,0.753846154,-1.643273077,,,,,
13,0.761538462,-1.497576923,,,,,
14,0.715384615,-1.5577,,,,,
15,0.730769231,-1.727107692,,,,,
16,0.761538462,-1.55515,,,,,
17,0.823076923,-1.336465385,,,,,
18,0.715384615,-1.665642308,,,,,
19,0.738461538,-1.515430769,,,,,
20,0.753846154,-1.614873077,,,,,
21,0.738461538,-1.584980769,,,,,
22,0.8,-1.443842308,,,,,
23,0.838461538,-1.30525,,,,,
24,0.730769231,-1.79715,,,,,
25,0.761538462,-1.549630769,,,,,
26,0.653846154,-1.814619231,,,,,
27,0.746153846,-1.555769231,,,,,
28,0.730769231,-1.7304,,,,,
29,0.707692308,-1.698796154,,,,,
30,0.738461538,-1.646584615,,,,,
31,0.784615385,-1.564107692,,,,,
32,0.761538462,-1.620611538,,,,,
33,0.769230769,-1.629119231,,,,,
34,0.776923077,-1.520942308,,,,,
35,0.746153846,-1.764073077,,,,,
36,0.776923077,-1.598588462,,,,,
37,0.684615385,-1.93675,,,,,
38,0.761538462,-1.530411538,,,,,
39,0.807692308,-1.364653846,,,,,
40,0.8,-1.417719231,,,,,
41,0.715384615,-1.809838462,,,,,
42,0.753846154,-1.497842308,,,,,
43,0.792307692,-1.632196154,,,,,
44,0.876923077,-1.2271,,,,,
45,0.707692308,-1.585815385,,,,,
46,0.692307692,-1.623096154,,,,,
47,0.723076923,-1.565565385,,,,,
48,0.753846154,-1.653557692,,,,,
49,0.730769231,-1.550142308,,,,,
50,0.669230769,-1.658784615,,,,,
51,0.715384615,-1.748973077,,,,,
52,0.746153846,-1.504519231,,,,,
53,0.784615385,-1.487346154,,,,,
54,0.769230769,-1.564892308,,,,,
55,0.746153846,-1.547246154,,,,,
56,0.753846154,-1.585092308,,,,,
57,0.776923077,-1.569269231,,,,,
58,0.730769231,-1.671592308,,,,,
59,0.738461538,-1.902680769,,,,,
60,0.815384615,-1.311161538,,,,,
61,0.738461538,-1.774176923,,,,,
62,0.753846154,-1.45815,,,,,
63,0.715384615,-1.814830769,,,,,
64,0.730769231,-1.65395,,,,,
65,0.776923077,-1.493142308,,,,,
66,0.769230769,-1.627630769,,,,,
67,0.738461538,-1.455269231,,,,,
68,0.776923077,-1.550638462,,,,,
69,0.730769231,-1.748523077,,,,,
70,0.753846154,-1.548673077,,,,,
71,0.761538462,-1.525942308,,,,,
72,0.730769231,-1.530957692,,,,,
73,0.730769231,-1.520242308,,,,,
74,0.753846154,-1.460757692,,,,,
75,0.784615385,-1.557792308,,,,,
76,0.807692308,-1.427003846,,,,,
77,0.784615385,-1.335884615,,,,,
78,0.776923077,-1.448476923,,,,,
79,0.776923077,-1.492646154,,,,,
80,0.776923077,-1.469034615,,,,,
81,0.7,-1.724261538,,,,,
82,0.807692308,-1.325046154,,,,,
83,0.823076923,-1.354253846,,,,,
84,0.792307692,-1.526742308,,,,,
85,0.715384615,-1.806946154,,,,,
86,0.753846154,-1.434815385,,,,,
87,0.792307692,-1.831676923,,,,,
88,0.753846154,-1.698934615,,,,,
89,0.692307692,-1.871219231,,,,,
90,0.761538462,-1.458026923,,,,,
91,0.761538462,-1.402926923,,,,,
92,0.738461538,-1.737003846,,,,,
93,0.784615385,-1.812365385,,,,,
94,0.738461538,-1.810119231,,,,,
95,0.784615385,-1.469888462,,,,,
96,0.792307692,-1.394161538,,,,,
97,0.730769231,-1.723346154,,,,,
98,0.738461538,-1.504907692,,,,,
99,0.784615385,-1.497019231,,,,,
100,0.776923077,-1.645234615,,,,,
101,0.784615385,-1.423923077,,,,,
102,0.707692308,-1.538526923,,,,,
103,0.761538462,-1.624288462,,,,,
104,0.723076923,-1.950953846,,,,,
105,0.776923077,-1.440673077,,,,,
106,0.792307692,-1.545157692,,,,,
107,0.776923077,-1.662526923,,,,,
108,0.738461538,-1.608273077,,,,,
109,0.792307692,-1.429388462,,,,,
110,0.761538462,-1.496976923,,,,,
111,0.792307692,-1.640553846,,,,,
112,0.830769231,-1.405023077,,,,,
113,0.730769231,-1.632265385,,,,,
114,0.753846154,-1.740730769,,,,,
115,0.692307692,-2.027119231,,,,,
116,0.630769231,-1.766303846,,,,,
117,0.723076923,-1.513615385,,,,,
118,0.684615385,-1.827323077,,,,,
119,0.761538462,-1.678880769,,,,,
120,0.746153846,-1.633469231,,,,,
121,0.723076923,-1.797811538,,,,,
122,0.746153846,-2.027592308,,,,,
123,0.792307692,-1.47815,,,,,
124,0.784615385,-1.531257692,,,,,
125,0.784615385,-1.670719231,,,,,
126,0.784615385,-1.538626923,,,,,
127,0.769230769,-1.627546154,,,,,
128,0.776923077,-1.639461538,,,,,
129,0.769230769,-1.679261538,,,,,
130,0.707692308,-2.215180769,,,,,
131,0.715384615,-1.749238462,,,,,
132,0.6,-2.391780769,,,,,
133,0.730769231,-1.782311538,,,,,
134,0.769230769,-1.449315385,,,,,
135,0.792307692,-1.488703846,,,,,
136,0.753846154,-1.597084615,,,,,
137,0.769230769,-1.535411538,,,,,
138,0.815384615,-1.3906,,,,,
139,0.746153846,-1.800519231,,,,,
